Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 2474,https://www.congress.gov/bill/116th-congress/senate-bill/2474,116th Congress (2019-2020),"An original bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2020, and for other purposes.",,"Shelby, Richard C. [Sen.-R-AL]",,9/12/19,0,,,Senate - Appropriations,Placed on Senate Legislative Calendar under General Orders. Calendar No. 205.,9/12/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Administrative law and regulatory procedures,Afghanistan,Appropriations,Arms control and nonproliferation,Asia,Assault and harassment offenses,Atmospheric science and weather,Aviation and airports,Buy American requirements,Caribbean area,Central Intelligence Agency (CIA),Chemical and biological weapons,Computers and information technology,Conflicts and wars,Congressional oversight,Crime victims,Criminal justice information and records,Cuba,Defense spending,Department of Defense,Detention of persons,"Diplomacy, foreign officials, Americans abroad",Disaster relief and insurance,Drug trafficking and controlled substances,"Drug, alcohol, tobacco use",Due process and equal protection,Educational technology and distance education,Europe,Executive agency funding and structure,Floods and storm protection,Foreign aid and international relief,"Government employee pay, benefits, personnel management",Government information and archives,Government studies and investigations,Guam,Hawaii,Health facilities and institutions,Human rights,Idaho,Illinois,Indian lands and resources rights,Indian social and development programs,"Intelligence activities, surveillance, classified information",International law and treaties,International monetary system and foreign exchange,Iran,Iraq,Israel,Judicial procedure and administration,Kuwait,Latin America,Manufacturing,Marine and inland water transportation,Medical education,Medical research,Metals,Micronesia,Middle East,"Military assistance, sales, and agreements",Military command and structure,Military education and training,Military facilities and property,Military medicine,Military operations and strategy,Military personnel and dependents,"Military procurement, research, weapons development",Military readiness,Minnesota,Montana,National Guard and reserves,National Security Agency,Natural disasters,Nevada,North Dakota,North Korea,Northern Mariana Islands,Nuclear weapons,Oil and gas,Oregon,Pacific Ocean,Palau,Pornography,Public contracts and procurement,Research administration and funding,Research and development,Russia,Saudi Arabia,Sex offenses,Small business,"Social work, volunteer service, charitable organizations",South Dakota,Syria,Technology transfer and commercialization,Terrorism,Turkey,U.S. territories and protectorates,Ukraine,"Veterans' education, employment, rehabilitation",Veterans' medical care,War and emergency powers,Washington State,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2475,https://www.congress.gov/bill/116th-congress/senate-bill/2475,116th Congress (2019-2020),"A bill to modify the effective date for inclusion of certain members of the Armed Forces serving on active duty in the Yellow Ribbon G.I. Education Enhancement Program, and for other purposes.",,"Cotton, Tom [Sen.-R-AR]",,9/12/19,0,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,9/12/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Student aid and college costs,"Veterans' education, employment, rehabilitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2476,https://www.congress.gov/bill/116th-congress/senate-bill/2476,116th Congress (2019-2020),Hurricane Dorian Charitable Giving Act,,"Scott, Rick [Sen.-R-FL]",,9/12/19,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/12/19,"Graham, Lindsey [Sen.-R-SC]","Isakson, Johnny [Sen.-R-GA]","Rubio, Marco [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Charitable contributions,Disaster relief and insurance,Income tax deductions,Natural disasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2479,https://www.congress.gov/bill/116th-congress/senate-bill/2479,116th Congress (2019-2020),"A bill to provide clarification regarding the common or usual name for bison and compliance with section 403 of the Federal Food, Drug, and Cosmetic Act, and for other purposes.",,"Hoeven, John [Sen.-R-ND]",,9/16/19,7,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",9/16/19,"Rosen, Jacky [Sen.-D-NV]","Bennet, Michael F. [Sen.-D-CO]","Smith, Tina [Sen.-D-MN]","Braun, Mike [Sen.-R-IN]","Thune, John [Sen.-R-SD]","Cramer, Kevin [Sen.-R-ND]","Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Meat,"Food supply, safety, and labeling",Consumer affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2483,https://www.congress.gov/bill/116th-congress/senate-bill/2483,116th Congress (2019-2020),TRAP Act,,"Wicker, Roger F. [Sen.-R-MS]",,9/17/19,7,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,9/17/19,"Markey, Edward J. [Sen.-D-MA]","Cardin, Benjamin L. [Sen.-D-MD]","Whitehouse, Sheldon [Sen.-D-RI]","Rubio, Marco [Sen.-R-FL]","Gardner, Cory [Sen.-R-CO]","Rounds, Mike [Sen.-R-SD]","Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,Congressional oversight,"Criminal investigation, prosecution, interrogation",Criminal justice information and records,Detention of persons,"Diplomacy, foreign officials, Americans abroad","Government employee pay, benefits, personnel management",Human rights,Immigration status and procedures,International law and treaties,International organizations and cooperation,News media and reporting,Protest and dissent,"Refugees, asylum, displaced persons",Rule of law and government transparency,Russia,Travel and tourism,Visas and passports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2487,https://www.congress.gov/bill/116th-congress/senate-bill/2487,116th Congress (2019-2020),Defense Storage and Supply Efficiency Improvement Act,,"Ernst, Joni [Sen.-R-IA]",,9/17/19,2,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,9/17/19,"Braun, Mike [Sen.-R-IN]","Blackburn, Marsha [Sen.-R-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Congressional oversight,Defense spending,Department of Defense,Executive agency funding and structure,Military facilities and property,"Military procurement, research, weapons development",Public contracts and procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2490,https://www.congress.gov/bill/116th-congress/senate-bill/2490,116th Congress (2019-2020),Child Tax Credit Extension Act,,"McSally, Martha [Sen.-R-AZ]",,9/17/19,4,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/17/19,"Ernst, Joni [Sen.-R-IA]","Braun, Mike [Sen.-R-IN]","Cassidy, Bill [Sen.-R-LA]","Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Income tax credits,Tax treatment of families,"Tax administration and collection, taxpayers",Inflation and prices,Wages and earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2492,https://www.congress.gov/bill/116th-congress/senate-bill/2492,116th Congress (2019-2020),STANDUP Act of 2019,,"Gardner, Cory [Sen.-R-CO]",,9/17/19,12,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",9/17/19,"Shaheen, Jeanne [Sen.-D-NH]","Cornyn, John [Sen.-R-TX]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Capito, Shelley Moore [Sen.-R-WV]","Hassan, Margaret Wood [Sen.-D-NH]","Jones, Doug [Sen.-D-AL]","Murphy, Christopher [Sen.-D-CT]","Braun, Mike [Sen.-R-IN]","Tillis, Thomas [Sen.-R-NC]","Collins, Susan M. [Sen.-R-ME]","Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child health,Education programs funding,Elementary and secondary education,Employment and training programs,Government information and archives,Health,Mental health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2494,https://www.congress.gov/bill/116th-congress/senate-bill/2494,116th Congress (2019-2020),Fallen Heroes Family Travel Act of 2019,,"Cotton, Tom [Sen.-R-AR]",,9/18/19,1,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,9/18/19,"Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military personnel and dependents,Travel and tourism,Armed Forces and National Security,Delaware,Military facilities and property,Transportation costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2495,https://www.congress.gov/bill/116th-congress/senate-bill/2495,116th Congress (2019-2020),Compassionate Retirement Act of 2019,,"Burr, Richard [Sen.-R-NC]",,9/18/19,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/18/19,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Income tax exclusion,Income tax deferral,Employee benefits and pensions,"Long-term, rehabilitative, and terminal care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2502,https://www.congress.gov/bill/116th-congress/senate-bill/2502,116th Congress (2019-2020),American Security Drone Act of 2020,,"Scott, Rick [Sen.-R-FL]",,9/18/19,6,,,Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 547.,9/15/20,"Blackburn, Marsha [Sen.-R-TN]","Blumenthal, Richard [Sen.-D-CT]","Rubio, Marco [Sen.-R-FL]","Murphy, Christopher [Sen.-D-CT]","Cotton, Tom [Sen.-R-AR]","Hawley, Josh [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,"Military procurement, research, weapons development","Intelligence activities, surveillance, classified information",Homeland security,Public contracts and procurement,Congressional oversight,China,Aviation and airports,Asia,Department of Homeland Security,Government Operations and Politics,Foreign and international corporations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2503,https://www.congress.gov/bill/116th-congress/senate-bill/2503,116th Congress (2019-2020),United States Commission on International Religious Freedom Reauthorization Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,9/18/19,4,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,9/18/19,"Durbin, Richard J. [Sen.-D-IL]","Menendez, Robert [Sen.-D-NJ]","Coons, Christopher A. [Sen.-D-DE]","Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,Advisory bodies,Congressional oversight,Executive agency funding and structure,Federal officials,Government information and archives,Human rights,Religion,U.S. Commission on International Religious Freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2504,https://www.congress.gov/bill/116th-congress/senate-bill/2504,116th Congress (2019-2020),TBI and PTSD Treatment Act,,"Hoeven, John [Sen.-R-ND]",,9/18/19,2,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,9/18/19,"McSally, Martha [Sen.-R-AZ]","Cramer, Kevin [Sen.-R-ND]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Mental health,Health care coverage and access,Alternative treatments,Veterans' medical care,Neurological disorders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2507,https://www.congress.gov/bill/116th-congress/senate-bill/2507,116th Congress (2019-2020),Canadian Snowbirds Act,,"Rubio, Marco [Sen.-R-FL]",,9/18/19,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/18/19,"Sinema, Kyrsten [Sen.-D-AZ]","Scott, Rick [Sen.-R-FL]","McSally, Martha [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,Immigration,Immigration status and procedures,"Tax administration and collection, taxpayers",Travel and tourism,Visas and passports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2509,https://www.congress.gov/bill/116th-congress/senate-bill/2509,116th Congress (2019-2020),Office of Technology Assessment Improvement and Enhancement Act,,"Tillis, Thomas [Sen.-R-NC]",,9/19/19,1,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,9/19/19,"Hirono, Mazie K. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congress,Congressional agencies,Members of Congress,Government information and archives,"Government employee pay, benefits, personnel management",Technology assessment,Congressional oversight,Congressional operations and organization,Congressional leadership,General science and technology matters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2511,https://www.congress.gov/bill/116th-congress/senate-bill/2511,116th Congress (2019-2020),Reauthorizing Security for Supreme Court Justices Act,,"Graham, Lindsey [Sen.-R-SC]",,9/19/19,1,,,Senate - Judiciary,Placed on Senate Legislative Calendar under General Orders. Calendar No. 282.,11/5/19,"Sinema, Kyrsten [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Firearms and explosives,"Government buildings, facilities, and property",Government Operations and Politics,Judges,Law enforcement officers,Protection of officials,Supreme Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2519,https://www.congress.gov/bill/116th-congress/senate-bill/2519,116th Congress (2019-2020),ENND Act,,"Romney, Mitt [Sen.-R-UT]",,9/19/19,2,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/19/19,"Hassan, Margaret Wood [Sen.-D-NH]","Merkley, Jeff [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Administrative law and regulatory procedures,Child health,Congressional oversight,Department of Health and Human Services,"Drug safety, medical device, and laboratory regulation","Drug, alcohol, tobacco use",Health promotion and preventive care,Medical research,Sales and excise taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2520,https://www.congress.gov/bill/116th-congress/senate-bill/2520,116th Congress (2019-2020),"An original bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2020, and for other purposes.",,"Collins, Susan M. [Sen.-R-ME]",,9/19/19,0,,,Senate - Appropriations,Placed on Senate Legislative Calendar under General Orders. Calendar No. 209.,9/19/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Economics and Public Finance,Access Board,Appropriations,Aviation and airports,Computers and information technology,Department of Housing and Urban Development,Department of Transportation,District of Columbia,Executive agency funding and structure,Federal Maritime Commission,Government lending and loan guarantees,Government studies and investigations,Government trust funds,Hazardous wastes and toxic substances,Housing and community development funding,Housing discrimination,Housing finance and home ownership,Housing for the elderly and disabled,Indian social and development programs,Interagency Council on Homelessness,Low- and moderate-income housing,Marine and inland water transportation,Maryland,Motor carriers,National Railroad Passenger Corporation (Amtrak),National Transportation Safety Board (NTSB),"Navigation, waterways, harbors",Neighborhood Reinvestment Corporation,Pipelines,Public housing,Public transit,Railroads,Residential rehabilitation and home repair,Roads and highways,Saint Lawrence Seaway,Surface Transportation Board,Transportation programs funding,Transportation safety and security,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
