Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 2241,https://www.congress.gov/bill/116th-congress/senate-bill/2241,116th Congress (2019-2020),Native American Seeds Protection Act of 2019,,"Heinrich, Martin [Sen.-D-NM]",,7/23/19,1,,,Senate - Indian Affairs,Read twice and referred to the Committee on Indian Affairs.,7/23/19,"McSally, Martha [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Americans,Agricultural marketing and promotion,Agricultural practices and innovations,Agricultural research,Federal-Indian relations,Fraud offenses and financial crimes,Government studies and investigations,Horticulture and plants,Indian lands and resources rights,Marketing and advertising,Right of privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2242,https://www.congress.gov/bill/116th-congress/senate-bill/2242,116th Congress (2019-2020),Foreign Influence Reporting in Elections Act,,"Warner, Mark R. [Sen.-D-VA]",,7/23/19,10,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,7/23/19,"Kaine, Tim [Sen.-D-VA]","Reed, Jack [Sen.-D-RI]","Shaheen, Jeanne [Sen.-D-NH]","Bennet, Michael F. [Sen.-D-CO]","King, Angus S., Jr. [Sen.-I-ME]","Harris, Kamala D. [Sen.-D-CA]","Collins, Susan M. [Sen.-R-ME]","Menendez, Robert [Sen.-D-NJ]","Klobuchar, Amy [Sen.-D-MN]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,"Presidents and presidential powers, Vice Presidents",Government information and archives,"Elections, voting, political campaign regulation","Government ethics and transparency, public corruption","Diplomacy, foreign officials, Americans abroad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2243,https://www.congress.gov/bill/116th-congress/senate-bill/2243,116th Congress (2019-2020),Payments Modernization Act of 2019,,"Van Hollen, Chris [Sen.-D-MD]",,7/24/19,1,,,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking, Housing, and Urban Affairs. Hearings held.",7/30/19,"Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Banking and financial institutions regulation,Consumer affairs,Federal Reserve System,Financial services and investments,Public utilities and utility rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2250,https://www.congress.gov/bill/116th-congress/senate-bill/2250,116th Congress (2019-2020),America's College Promise Act of 2019,,"Baldwin, Tammy [Sen.-D-WI]",,7/24/19,8,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",7/24/19,"Van Hollen, Chris [Sen.-D-MD]","Leahy, Patrick J. [Sen.-D-VT]","Menendez, Robert [Sen.-D-NJ]","Cardin, Benjamin L. [Sen.-D-MD]","Gillibrand, Kirsten E. [Sen.-D-NY]","Hirono, Mazie K. [Sen.-D-HI]","Duckworth, Tammy [Sen.-D-IL]","Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Congressional oversight,Appropriations,Alaska Natives and Hawaiians,Academic performance and assessments,Department of Education,"Teaching, teachers, curricula",Student aid and college costs,State and local government operations,State and local finance,School administration,Performance measurement,Minority employment,Minority education,Licensing and registrations,Education of the disadvantaged,Education programs funding,Educational guidance,Elementary and secondary education,Employment and training programs,Executive agency funding and structure,Higher education,Indian social and development programs,Intergovernmental relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2252,https://www.congress.gov/bill/116th-congress/senate-bill/2252,116th Congress (2019-2020),Empowering States to Address Drug Costs Act,,"Van Hollen, Chris [Sen.-D-MD]",,7/24/19,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/24/19,"Cardin, Benjamin L. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Health care costs and insurance,Government information and archives,Business records,Inflation and prices,State and local government operations,Prescription drugs,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2253,https://www.congress.gov/bill/116th-congress/senate-bill/2253,116th Congress (2019-2020),Even Playing Field Act,,"Feinstein, Dianne [Sen.-D-CA]",,7/24/19,7,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation. (Sponsor introductory remarks on measure: CR S5064-5065)",7/24/19,"Tester, Jon [Sen.-D-MT]","Klobuchar, Amy [Sen.-D-MN]","Shaheen, Jeanne [Sen.-D-NH]","Gillibrand, Kirsten E. [Sen.-D-NY]","Hirono, Mazie K. [Sen.-D-HI]","Blumenthal, Richard [Sen.-D-CT]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports and Recreation,Congressional oversight,Athletes,Employment discrimination and employee rights,Olympic games,Racial and ethnic relations,Wages and earnings,Women's employment,Women's rights,"Sex, gender, sexual orientation discrimination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2254,https://www.congress.gov/bill/116th-congress/senate-bill/2254,116th Congress (2019-2020),Butch Lewis Act of 2019,,"Brown, Sherrod [Sen.-D-OH]",,7/24/19,39,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/24/19,"Feinstein, Dianne [Sen.-D-CA]","Durbin, Richard J. [Sen.-D-IL]","Schumer, Charles E. [Sen.-D-NY]","Stabenow, Debbie [Sen.-D-MI]","Casey, Robert P., Jr. [Sen.-D-PA]","Klobuchar, Amy [Sen.-D-MN]","Sanders, Bernard [Sen.-I-VT]","Whitehouse, Sheldon [Sen.-D-RI]","Merkley, Jeff [Sen.-D-OR]","Shaheen, Jeanne [Sen.-D-NH]","Manchin, Joe, III [Sen.-D-WV]","Blumenthal, Richard [Sen.-D-CT]","Baldwin, Tammy [Sen.-D-WI]","Heinrich, Martin [Sen.-D-NM]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Peters, Gary C. [Sen.-D-MI]","Duckworth, Tammy [Sen.-D-IL]","Harris, Kamala D. [Sen.-D-CA]","Hassan, Margaret Wood [Sen.-D-NH]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","Rosen, Jacky [Sen.-D-NV]","Schatz, Brian [Sen.-D-HI]","Cortez Masto, Catherine [Sen.-D-NV]","Coons, Christopher A. [Sen.-D-DE]","King, Angus S., Jr. [Sen.-I-ME]","Warner, Mark R. [Sen.-D-VA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Collins, Susan M. [Sen.-R-ME]","Reed, Jack [Sen.-D-RI]","Menendez, Robert [Sen.-D-NJ]","Tester, Jon [Sen.-D-MT]","Leahy, Patrick J. [Sen.-D-VT]","Udall, Tom [Sen.-D-NM]","Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labor and Employment,Executive agency funding and structure,Federal officials,Department of the Treasury,Securities,Accounting and auditing,Government trust funds,Employee benefits and pensions,Government lending and loan guarantees,"Interest, dividends, interest rates",Pension Benefit Guaranty Corporation,Appropriations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2255,https://www.congress.gov/bill/116th-congress/senate-bill/2255,116th Congress (2019-2020),Supporting Positive Outcomes After Release Act,,"Markey, Edward J. [Sen.-D-MA]",,7/24/19,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/24/19,"Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Correctional facilities and imprisonment,Detention of persons,Health care coverage and access,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2256,https://www.congress.gov/bill/116th-congress/senate-bill/2256,116th Congress (2019-2020),Coordinating Care for Children Affected by Immigration Enforcement Act,,"Smith, Tina [Sen.-D-MN]",,7/24/19,20,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/24/19,"Sanders, Bernard [Sen.-I-VT]","Murray, Patty [Sen.-D-WA]","Wyden, Ron [Sen.-D-OR]","Reed, Jack [Sen.-D-RI]","Menendez, Robert [Sen.-D-NJ]","Casey, Robert P., Jr. [Sen.-D-PA]","Klobuchar, Amy [Sen.-D-MN]","Merkley, Jeff [Sen.-D-OR]","Udall, Tom [Sen.-D-NM]","Blumenthal, Richard [Sen.-D-CT]","Baldwin, Tammy [Sen.-D-WI]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Cortez Masto, Catherine [Sen.-D-NV]","Duckworth, Tammy [Sen.-D-IL]","Harris, Kamala D. [Sen.-D-CA]","Van Hollen, Chris [Sen.-D-MD]","Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Border security and unlawful immigration,Child care and development,Child safety and welfare,Department of Homeland Security,Detention of persons,Family relationships,"Government buildings, facilities, and property","Government employee pay, benefits, personnel management",Immigration,Immigration status and procedures,Judicial procedure and administration,"Separation, divorce, custody, support",Visas and passports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2257,https://www.congress.gov/bill/116th-congress/senate-bill/2257,116th Congress (2019-2020),Fair Elections Now Act of 2019,,"Durbin, Richard J. [Sen.-D-IL]",,7/24/19,28,,,Senate - Finance,Read twice and referred to the Committee on Finance. (text: CR S5065-5070),7/24/19,"Leahy, Patrick J. [Sen.-D-VT]","Murray, Patty [Sen.-D-WA]","Menendez, Robert [Sen.-D-NJ]","Cardin, Benjamin L. [Sen.-D-MD]","Klobuchar, Amy [Sen.-D-MN]","Sanders, Bernard [Sen.-I-VT]","Merkley, Jeff [Sen.-D-OR]","Udall, Tom [Sen.-D-NM]","Bennet, Michael F. [Sen.-D-CO]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Baldwin, Tammy [Sen.-D-WI]","Heinrich, Martin [Sen.-D-NM]","Hirono, Mazie K. [Sen.-D-HI]","King, Angus S., Jr. [Sen.-I-ME]","Murphy, Christopher [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Duckworth, Tammy [Sen.-D-IL]","Harris, Kamala D. [Sen.-D-CA]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","Peters, Gary C. [Sen.-D-MI]","Casey, Robert P., Jr. [Sen.-D-PA]","Carper, Thomas R. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Administrative law and regulatory procedures,Television and film,Appropriations,"Broadcasting, cable, digital technologies",Civil actions and liability,Congressional elections,Congressional oversight,"Elections, voting, political campaign regulation",Federal Communications Commission (FCC),Government information and archives,Government studies and investigations,Government trust funds,Judicial review and appeals,Licensing and registrations,Political advertising,Political parties and affiliation,Public contracts and procurement,Sales and excise taxes,Senate,Supreme Court,Telecommunication rates and fees,Accounting and auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2259,https://www.congress.gov/bill/116th-congress/senate-bill/2259,116th Congress (2019-2020),Family Violence Prevention and Services Improvement Act of 2019,,"Casey, Robert P., Jr. [Sen.-D-PA]",,7/24/19,4,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",7/24/19,"Jones, Doug [Sen.-D-AL]","Murkowski, Lisa [Sen.-R-AK]","Klobuchar, Amy [Sen.-D-MN]","Baldwin, Tammy [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime prevention,Domestic violence and child abuse,Families,Family services,Health programs administration and funding,Community life and organization,Crime victims,Homelessness and emergency shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2261,https://www.congress.gov/bill/116th-congress/senate-bill/2261,116th Congress (2019-2020),Clean Energy Victory Bond Act of 2019,,"Udall, Tom [Sen.-D-NM]",,7/25/19,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/25/19,"Merkley, Jeff [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,Alternative and renewable resources,Building construction,Energy efficiency and conservation,Energy research,"Energy storage, supplies, demand",Environmental technology,Government trust funds,"Hybrid, electric, and advanced technology vehicles",Income tax credits,"Interest, dividends, interest rates",Manufacturing,Securities,Climate change and greenhouse gases,Government lending and loan guarantees,Air quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2265,https://www.congress.gov/bill/116th-congress/senate-bill/2265,116th Congress (2019-2020),GI Bill Work Study Improvement Act of 2019,,"Tester, Jon [Sen.-D-MT]",,7/25/19,1,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,7/25/19,"Rounds, Mike [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Higher education,"Veterans' education, employment, rehabilitation",Wages and earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2266,https://www.congress.gov/bill/116th-congress/senate-bill/2266,116th Congress (2019-2020),Group Flood Insurance Policy Extension Act of 2019,,"Manchin, Joe, III [Sen.-D-WV]",,7/25/19,0,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",7/25/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Disaster relief and insurance,Congressional oversight,Housing and community development funding,Government studies and investigations,Floods and storm protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
