Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1585,https://www.congress.gov/bill/115th-congress/senate-bill/1585,115th Congress (2017-2018),DISCLOSE Act of 2017,,"Whitehouse, Sheldon [Sen.-D-RI]",,7/19/17,45,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,7/19/17,"Cantwell, Maria [Sen.-D-WA]","Sanders, Bernard [Sen.-I-VT]","Merkley, Jeff [Sen.-D-OR]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Menendez, Robert [Sen.-D-NJ]","Casey, Robert P., Jr. [Sen.-D-PA]","McCaskill, Claire [Sen.-D-MO]","Tester, Jon [Sen.-D-MT]","Duckworth, Tammy [Sen.-D-IL]","Reed, Jack [Sen.-D-RI]","Nelson, Bill [Sen.-D-FL]","Schumer, Charles E. [Sen.-D-NY]","Carper, Thomas R. [Sen.-D-DE]","Brown, Sherrod [Sen.-D-OH]","Cardin, Benjamin L. [Sen.-D-MD]","Heitkamp, Heidi [Sen.-D-ND]","Stabenow, Debbie [Sen.-D-MI]","Blumenthal, Richard [Sen.-D-CT]","Klobuchar, Amy [Sen.-D-MN]","Baldwin, Tammy [Sen.-D-WI]","Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Warner, Mark R. [Sen.-D-VA]","Warren, Elizabeth [Sen.-D-MA]","Durbin, Richard J. [Sen.-D-IL]","Van Hollen, Chris [Sen.-D-MD]","Murphy, Christopher [Sen.-D-CT]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Peters, Gary C. [Sen.-D-MI]","Harris, Kamala D. [Sen.-D-CA]","Hassan, Margaret Wood [Sen.-D-NH]","Leahy, Patrick J. [Sen.-D-VT]","Shaheen, Jeanne [Sen.-D-NH]","Udall, Tom [Sen.-D-NM]","Bennet, Michael F. [Sen.-D-CO]","Franken, Al [Sen.-D-MN]","Schatz, Brian [Sen.-D-HI]","Heinrich, Martin [Sen.-D-NM]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","King, Angus S., Jr. [Sen.-I-ME]","Cortez Masto, Catherine [Sen.-D-NV]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. and foreign investments,Labor-management relations,Government Operations and Politics,Government information and archives,Foreign and international corporations,Financial services and investments,"Elections, voting, political campaign regulation",Corporate finance and management,Congressional elections,Business records,Business ethics,Political advertising,Political parties and affiliation,Public participation and lobbying,Tax-exempt organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1586,https://www.congress.gov/bill/115th-congress/senate-bill/1586,115th Congress (2017-2018),Great Lakes Environmental Sensitivity Index Act of 2017,,"Peters, Gary C. [Sen.-D-MI]",,7/19/17,2,,,"House - Natural Resources | Senate - Commerce, Science, and Transportation","Referred to the Subcommittee on Water, Power and Oceans.",9/10/18,"Franken, Al [Sen.-D-MN]","Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accidents,Aquatic ecology,"Environmental assessment, monitoring, research",Geography and mapping,Government information and archives,Seashores and lakeshores,"Marine and coastal resources, fisheries",Public Lands and Natural Resources,Oil and gas,Marine pollution,Marine and inland water transportation,Great Lakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1587,https://www.congress.gov/bill/115th-congress/senate-bill/1587,115th Congress (2017-2018),A bill for the relief of Liu Xia.,,"Cruz, Ted [Sen.-R-TX]",,7/19/17,3,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/19/17,"Leahy, Patrick J. [Sen.-D-VT]","Merkley, Jeff [Sen.-D-OR]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Legislation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1588,https://www.congress.gov/bill/115th-congress/senate-bill/1588,115th Congress (2017-2018),Democracy Restoration Act of 2017,,"Cardin, Benjamin L. [Sen.-D-MD]",,7/19/17,21,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/19/17,"Whitehouse, Sheldon [Sen.-D-RI]","Wyden, Ron [Sen.-D-OR]","Brown, Sherrod [Sen.-D-OH]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Leahy, Patrick J. [Sen.-D-VT]","Sanders, Bernard [Sen.-I-VT]","Blumenthal, Richard [Sen.-D-CT]","Hirono, Mazie K. [Sen.-D-HI]","Franken, Al [Sen.-D-MN]","Coons, Christopher A. [Sen.-D-DE]","Durbin, Richard J. [Sen.-D-IL]","Merkley, Jeff [Sen.-D-OR]","Reed, Jack [Sen.-D-RI]","Gillibrand, Kirsten E. [Sen.-D-NY]","Harris, Kamala D. [Sen.-D-CA]","Duckworth, Tammy [Sen.-D-IL]","Casey, Robert P., Jr. [Sen.-D-PA]","Booker, Cory A. [Sen.-D-NJ]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law enforcement administration and funding,Voting rights,Criminal procedure and sentencing,Correctional facilities and imprisonment,"Civil Rights and Liberties, Minority Issues",Civil actions and liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1589,https://www.congress.gov/bill/115th-congress/senate-bill/1589,115th Congress (2017-2018),Promotion and Expansion of Private Employee Ownership Act of 2017,,"Roberts, Pat [Sen.-R-KS]",,7/19/17,39,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/19/17,"Stabenow, Debbie [Sen.-D-MI]","Brown, Sherrod [Sen.-D-OH]","Whitehouse, Sheldon [Sen.-D-RI]","Gillibrand, Kirsten E. [Sen.-D-NY]","Portman, Rob [Sen.-R-OH]","Donnelly, Joe [Sen.-D-IN]","Tillis, Thomas [Sen.-R-NC]","Cardin, Benjamin L. [Sen.-D-MD]","Kennedy, John [Sen.-R-LA]","Heitkamp, Heidi [Sen.-D-ND]","Hoeven, John [Sen.-R-ND]","Baldwin, Tammy [Sen.-D-WI]","Peters, Gary C. [Sen.-D-MI]","Coons, Christopher A. [Sen.-D-DE]","Daines, Steve [Sen.-R-MT]","Isakson, Johnny [Sen.-R-GA]","Casey, Robert P., Jr. [Sen.-D-PA]","Murray, Patty [Sen.-D-WA]","Leahy, Patrick J. [Sen.-D-VT]","Thune, John [Sen.-R-SD]","Tester, Jon [Sen.-D-MT]","Risch, James E. [Sen.-R-ID]","Ernst, Joni [Sen.-R-IA]","Reed, Jack [Sen.-D-RI]","Collins, Susan M. [Sen.-R-ME]","Klobuchar, Amy [Sen.-D-MN]","Blunt, Roy [Sen.-R-MO]","McCaskill, Claire [Sen.-D-MO]","Toomey, Patrick [Sen.-R-PA]","Grassley, Chuck [Sen.-R-IA]","Cantwell, Maria [Sen.-D-WA]","Moran, Jerry [Sen.-R-KS]","Crapo, Mike [Sen.-R-ID]","Franken, Al [Sen.-D-MN]","Fischer, Deb [Sen.-R-NE]","King, Angus S., Jr. [Sen.-I-ME]","Van Hollen, Chris [Sen.-D-MD]","Duckworth, Tammy [Sen.-D-IL]","Sanders, Bernard [Sen.-I-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capital gains tax,Income tax deferral,Executive agency funding and structure,Employee benefits and pensions,Taxation,Securities,Small business,Department of the Treasury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1590,https://www.congress.gov/bill/115th-congress/senate-bill/1590,115th Congress (2017-2018),Employ Young Americans Now Act,,"Sanders, Bernard [Sen.-I-VT]",,7/19/17,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",7/19/17,"Stabenow, Debbie [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Youth employment and child labor,Unemployment,Labor and Employment,Government trust funds,Employment and training programs,Employee hiring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1591,https://www.congress.gov/bill/115th-congress/senate-bill/1591,115th Congress (2017-2018),Otto Warmbier Banking Restrictions Involving North Korea Act of 2017,,"Van Hollen, Chris [Sen.-D-MD]",,7/19/17,15,,,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking, Housing, and Urban Affairs. Hearings held. Hearings printed: S.Hrg. 115-161.",1/30/18,"Toomey, Patrick [Sen.-R-PA]","Tester, Jon [Sen.-D-MT]","Cruz, Ted [Sen.-R-TX]","Hirono, Mazie K. [Sen.-D-HI]","Scott, Tim [Sen.-R-SC]","Cotton, Tom [Sen.-R-AR]","Cortez Masto, Catherine [Sen.-D-NV]","Kennedy, John [Sen.-R-LA]","Brown, Sherrod [Sen.-D-OH]","Casey, Robert P., Jr. [Sen.-D-PA]","Blumenthal, Richard [Sen.-D-CT]","Durbin, Richard J. [Sen.-D-IL]","Warren, Elizabeth [Sen.-D-MA]","Crapo, Mike [Sen.-R-ID]","Schatz, Brian [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. and foreign investments,Trade restrictions,Technology transfer and commercialization,State and local finance,Sanctions,Nuclear weapons,North Korea,Multilateral development programs,Licensing and registrations,Legislative rules and procedure,International monetary system and foreign exchange,International Affairs,Industrial facilities,Fraud offenses and financial crimes,Foreign and international banking,Foreign aid and international relief,Foreign property,Financial services and investments,United Nations,Employee benefits and pensions,"Diplomacy, foreign officials, Americans abroad",Detention of persons,"Criminal investigation, prosecution, interrogation",Congressional oversight,Foreign loans and debt,Arms control and nonproliferation,Asia,Bangladesh,"Bank accounts, deposits, capital",Banking and financial institutions regulation,Chemical and biological weapons,Civil actions and liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1592,https://www.congress.gov/bill/115th-congress/senate-bill/1592,115th Congress (2017-2018),Firearm Act of 2017,,"Blunt, Roy [Sen.-R-MO]",,7/20/17,7,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/20/17,"Cornyn, John [Sen.-R-TX]","Cochran, Thad [Sen.-R-MS]","Enzi, Michael B. [Sen.-R-WY]","Thune, John [Sen.-R-SD]","Manchin, Joe, III [Sen.-D-WV]","Capito, Shelley Moore [Sen.-R-WV]","Strange, Luther [Sen.-R-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Firearms and explosives,Criminal justice information and records,Crime and Law Enforcement,Racial and ethnic relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1593,https://www.congress.gov/bill/115th-congress/senate-bill/1593,115th Congress (2017-2018),Pretrial Integrity and Safety Act of 2017,,"Harris, Kamala D. [Sen.-D-CA]",,7/20/17,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/20/17,"Paul, Rand [Sen.-R-KY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Criminal justice information and records,Criminal procedure and sentencing,Detention of persons,Government information and archives,Judicial procedure and administration,State and local courts,Law enforcement administration and funding,Lawyers and legal services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1594,https://www.congress.gov/bill/115th-congress/senate-bill/1594,115th Congress (2017-2018),Protecting American Jobs Act,,"Lee, Mike [Sen.-R-UT]",,7/20/17,5,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",7/20/17,"Strange, Luther [Sen.-R-AL]","Rubio, Marco [Sen.-R-FL]","Cruz, Ted [Sen.-R-TX]","Cotton, Tom [Sen.-R-AR]","Lankford, James [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labor-management relations,Labor and Employment,Employment discrimination and employee rights,Civil actions and liability,Administrative remedies,Administrative law and regulatory procedures,National Labor Relations Board (NLRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1595,https://www.congress.gov/bill/115th-congress/senate-bill/1595,115th Congress (2017-2018),Hizballah International Financing Prevention Amendments Act of 2018,,"Rubio, Marco [Sen.-R-FL]",,7/20/17,39,,,"House - Foreign Affairs, Judiciary, Financial Services | Senate - Banking, Housing, and Urban Affairs",Became Public Law No: 115-272.,10/25/18,"Coons, Christopher A. [Sen.-D-DE]","Crapo, Mike [Sen.-R-ID]","Hassan, Margaret Wood [Sen.-D-NH]","Heller, Dean [Sen.-R-NV]","Gardner, Cory [Sen.-R-CO]","Heitkamp, Heidi [Sen.-D-ND]","Tester, Jon [Sen.-D-MT]","Sasse, Ben [Sen.-R-NE]","Durbin, Richard J. [Sen.-D-IL]","Nelson, Bill [Sen.-D-FL]","Klobuchar, Amy [Sen.-D-MN]","Gillibrand, Kirsten E. [Sen.-D-NY]","Young, Todd [Sen.-R-IN]","Manchin, Joe, III [Sen.-D-WV]","Cornyn, John [Sen.-R-TX]","Kaine, Tim [Sen.-D-VA]","Moran, Jerry [Sen.-R-KS]","Menendez, Robert [Sen.-D-NJ]","Wyden, Ron [Sen.-D-OR]","Blunt, Roy [Sen.-R-MO]","Hoeven, John [Sen.-R-ND]","Ernst, Joni [Sen.-R-IA]","Roberts, Pat [Sen.-R-KS]","Barrasso, John [Sen.-R-WY]","Cotton, Tom [Sen.-R-AR]","Casey, Robert P., Jr. [Sen.-D-PA]","Boozman, John [Sen.-R-AR]","Cruz, Ted [Sen.-R-TX]","Collins, Susan M. [Sen.-R-ME]","Donnelly, Joe [Sen.-D-IN]","Wicker, Roger F. [Sen.-R-MS]","Perdue, David [Sen.-R-GA]","Markey, Edward J. [Sen.-D-MA]","Shaheen, Jeanne [Sen.-D-NH]","Kennedy, John [Sen.-R-LA]","Blumenthal, Richard [Sen.-D-CT]","Capito, Shelley Moore [Sen.-R-WV]","Cortez Masto, Catherine [Sen.-D-NV]","Rounds, Mike [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Intelligence activities, surveillance, classified information",Government information and archives,Fraud offenses and financial crimes,Foreign property,Foreign and international banking,"Drug, alcohol, tobacco use",Congressional oversight,"Bank accounts, deposits, capital",War and emergency powers,Terrorism,Smuggling and trafficking,Sanctions,"Presidents and presidential powers, Vice Presidents",Political parties and affiliation,Organized crime,"Military assistance, sales, and agreements",Middle East,International Affairs,Judicial review and appeals,Banking and financial institutions regulation,"Criminal investigation, prosecution, interrogation","Diplomacy, foreign officials, Americans abroad",International organizations and cooperation,Iran,Lebanon,Syria,Visas and passports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1596,https://www.congress.gov/bill/115th-congress/senate-bill/1596,115th Congress (2017-2018),BRAVE Act of 2017,,"Peters, Gary C. [Sen.-D-MI]",,7/20/17,8,,,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 115-616.,8/1/18,"King, Angus S., Jr. [Sen.-I-ME]","Crapo, Mike [Sen.-R-ID]","Collins, Susan M. [Sen.-R-ME]","Rubio, Marco [Sen.-R-FL]","Shaheen, Jeanne [Sen.-D-NH]","Warren, Elizabeth [Sen.-D-MA]","Tester, Jon [Sen.-D-MT]","Baldwin, Tammy [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Cemeteries and funerals,Disability and paralysis,Inflation and prices,Veterans' pensions and compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1597,https://www.congress.gov/bill/115th-congress/senate-bill/1597,115th Congress (2017-2018),Social Security Identity Defense Act of 2017,,"Johnson, Ron [Sen.-R-WI]",,7/20/17,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/20/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tax administration and collection, taxpayers",Government information and archives,Fraud offenses and financial crimes,Crime victims,Computer security and identity theft,Crime prevention,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1598,https://www.congress.gov/bill/115th-congress/senate-bill/1598,115th Congress (2017-2018),Harry W. Colmery Veterans Educational Assistance Act of 2017,,"Isakson, Johnny [Sen.-R-GA]",,7/20/17,63,,,Senate - Veterans' Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 200.,8/2/17,"Nelson, Bill [Sen.-D-FL]","Tester, Jon [Sen.-D-MT]","Stabenow, Debbie [Sen.-D-MI]","Shaheen, Jeanne [Sen.-D-NH]","Manchin, Joe, III [Sen.-D-WV]","Blumenthal, Richard [Sen.-D-CT]","Heller, Dean [Sen.-R-NV]","Donnelly, Joe [Sen.-D-IN]","Fischer, Deb [Sen.-R-NE]","Heitkamp, Heidi [Sen.-D-ND]","Heinrich, Martin [Sen.-D-NM]","Cassidy, Bill [Sen.-R-LA]","Menendez, Robert [Sen.-D-NJ]","Warner, Mark R. [Sen.-D-VA]","Cochran, Thad [Sen.-R-MS]","Sullivan, Dan [Sen.-R-AK]","Tillis, Thomas [Sen.-R-NC]","Hassan, Margaret Wood [Sen.-D-NH]","Blunt, Roy [Sen.-R-MO]","Boozman, John [Sen.-R-AR]","Thune, John [Sen.-R-SD]","Whitehouse, Sheldon [Sen.-D-RI]","Graham, Lindsey [Sen.-R-SC]","Capito, Shelley Moore [Sen.-R-WV]","Daines, Steve [Sen.-R-MT]","Duckworth, Tammy [Sen.-D-IL]","Feinstein, Dianne [Sen.-D-CA]","Coons, Christopher A. [Sen.-D-DE]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","Grassley, Chuck [Sen.-R-IA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Markey, Edward J. [Sen.-D-MA]","Reed, Jack [Sen.-D-RI]","Cornyn, John [Sen.-R-TX]","Brown, Sherrod [Sen.-D-OH]","Cardin, Benjamin L. [Sen.-D-MD]","Klobuchar, Amy [Sen.-D-MN]","Franken, Al [Sen.-D-MN]","Warren, Elizabeth [Sen.-D-MA]","Peters, Gary C. [Sen.-D-MI]","McCain, John [Sen.-R-AZ]","Wicker, Roger F. [Sen.-R-MS]","Schumer, Charles E. [Sen.-D-NY]","Cortez Masto, Catherine [Sen.-D-NV]","Merkley, Jeff [Sen.-D-OR]","Collins, Susan M. [Sen.-R-ME]","Strange, Luther [Sen.-R-AL]","Moran, Jerry [Sen.-R-KS]","Rubio, Marco [Sen.-R-FL]","Murkowski, Lisa [Sen.-R-AK]","Kennedy, John [Sen.-R-LA]","Cantwell, Maria [Sen.-D-WA]","Baldwin, Tammy [Sen.-D-WI]","Van Hollen, Chris [Sen.-D-MD]","Casey, Robert P., Jr. [Sen.-D-PA]","McCaskill, Claire [Sen.-D-MO]","Udall, Tom [Sen.-D-NM]","Murray, Patty [Sen.-D-WA]","Inhofe, James M. [Sen.-R-OK]","Roberts, Pat [Sen.-R-KS]","Crapo, Mike [Sen.-R-ID]","Rounds, Mike [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utah,"Veterans' education, employment, rehabilitation","Veterans' loans, housing, homeless programs",Veterans' pensions and compensation,Virginia,Vocational and technical education,Administrative remedies,Alabama,Armed Forces and National Security,Asia,Chemical and biological weapons,Colorado,Computers and information technology,Conflicts and wars,Congressional oversight,Department of Veterans Affairs,Disability assistance,District of Columbia,Educational guidance,Florida,Government studies and investigations,Hazardous wastes and toxic substances,Higher education,Illinois,India,Latin America,Licensing and registrations,Maryland,Military facilities and property,Military medicine,Military personnel and dependents,Mississippi,Missouri,National Guard and reserves,New York State,North Carolina,User charges and fees,"Teaching, teachers, curricula",Student aid and college costs,State and local government operations,South Carolina,Science and engineering education,Panama,Performance measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
